author;nbr_publication
author;794
Yuval Yarom;46
Mike Hamburg;15
Frank Manola;29
Michael Stonebraker;213
Farshad Nayeri;2
Dimitrios Georgakopoulos;74
Sandra Heiler;6
Alejandro P. Buchmann;158
Benjamin Hurwitz;3
Cetin Ozbutun;2
Mike Kelley;3
Phil Shaw;3
Krishna G. Kulkarni;3
David Beech;19
Rolf Sander;2
Thomas Ludwig 0001;13
Claus-Rainer Rollinger;19
Hans Uszkoreit;67
Ulrike Schwall;9
Brigitte Bartsch-Spörl;17
Burkhard Kehrbusch;2
Gert Smolka;104
Birgit Wesche;9
Christopher Habel;35
Erich Gehlen;6
Egon Börger;65
Michael Ley;17
Roland Seiffert;15
Gisela Schöpke;3
Stefan Böttcher;43
Bernd Walter;35
Udo Pletat;28
Christoph Beierle;67
Carola Eschenbach;15
Hans-Joachim Goltz;17
Otthein Herzog;73
Bernhard Beckert;19
Stefan J. Schierholz;4
Birgit Wendholt;4
Gudrun Klose;3
Klaus Rehkämper;7
Anja Theuner;2
Peter H. Schmitt;57
Claudia Maienborn;8
Angelika Storrer;18
Esther König;15
Claudia Mrotzek;2
Rudi Studer;131
Lutz Voelkel;11
Kai-Uwe Carstensen;9
Martin Hübner;4
Michael Czymmeck;2
Michael Tarnowski;4
Mechthild Rickheit;5
Ulrike Weiland;4
Elisabeth Neugebauer;4
Mohammed Nadjib Khenkhar;5
Eric Mays;10
Petra Maier;3
Bruce G. Lindsay 0001;30
Stefan Börner;3
Thomas Pirlein;11
Gerd Kortüm;3
Ipke Wachsmuth;92
Ingrid Renz;9
Kai von Luck;29
Noam Paz;2
Kurt Eberle;18
Gregor Erbach;17
Christos Garidis;3
Toni Bollinger;10
Eric Windisch;2
Peter Gerstl;9
Irving L. Traiger;14
Ulrike Rackow;2
Sonja Müller;2
Rolf Mayer;5
Rüdiger Wirth;11
Holger M. Wittmann;3
Jan Wilms;5
Bernd Abb;2
Jörg Heinrich;2
Jochen Dörre;14
Rainer Bäuerle;3
Sven Lorenz;10
Michael Klein;18
Nick Roussopoulos;82
Tibor Kiss;10
Wolfgang Wernecke;7
Albert Maier;8
Petra Steffens;9
Manfred Grothaus;3
Karin Klabunde;5
Karl Dotzek;2
H. Raymond Strong;40
Nikolaus Ott;3
Christian Rohrer;12
Elisabeth Breidt;3
Oliver Wauschkuhn;5
Angi Voß;36
Ingo Raasch;4
Wolfgang Schönfeld;14
Astrid Schmücker-Schend;2
Simone Pribbenow;17
Joachim Maier;2
Hinrich Schütze;260
Jörg H. Siekmann;52
Petra Ludewig;8
Herbert J. Leass;3
Werner Kernig;4
Gregor Meyer;9
Andreas Arning;5
Raymond A. Lorie;19
Petra Schulz;2
Sebastian Millies;4
Heiner Semle;4
Anne Schiller;4
M. Wermke;2
Ulrich Hedtstück;8
Elke Busch;2
D. Eberle;2
Volker Jantzen;2
Ralph Scheubrein;4
William C. Rounds;32
Bernhard Nebel;142
Kurt Rothermel;271
Bart Geurts;17
Josef Gemander;2
Karel Oliva;17
Uwe Reyle;22
Reiner Hähnle;59
Jutta Kreiß;2
Jürgen Manowsky;2
Karl Schlechta;62
Geoffrey Simmons;7
Arne Pott;2
Vera Watson;3
Adrian Müller;4
Robert A. Weida;7
Peter Bosch;15
George Markowsky;26
Karl-Hans Bläsius;9
Günther Görz;30
Kjell Johan Sæbø;11
Stefan Benzschawel;5
Ulrich Schatz;3
Gosse Bouma;33
Donald D. Chamberlin;22
Bradford W. Wade;7
Karin Neuhold;2
Richard Rödler;8
Martin Mundhenk;44
Manfred Laumen;6
Volker Schillings;9
Carsten Damm;14
Martin Gugat;20
Nguyen V. Thoai;28
El-Sayed M. E. Mostafa;6
Belinda B. King;4
Ekkehard W. Sachs;31
John Westwater;3
Dieter Baum;26
Florian Jarre;19
Anna Slobodová;41
M. Böhm;4
Krzysztof Lorys;28
Klaus Jansen;95
Markus Wiegelmann;9
Christian Fecht;8
Christoph Meinel;603
Harald Sack;104
Harald Luschgy;8
Matthias Heinkenschloss;11
Arno Wagner;9
Reiner Horst;16
Christoph W. Keßler;21
Igor E. Shparlinski;237
Kasyap Natarajan;6
Oliver Stein;42
M. Nast;3
Lothar Breuer;28
Peter Sturm 0001;31
Patrick Reuther;4
E. Levitin;3
Jürgen Huschens;6
Marco Fahl;3
Andreas Neumann 0001;8
Volker Schulz 0001;21
Horst Schmitt;4
Christian Stangier;15
Victor Klee;29
Peter Willems;2
Igor N. Kovalenko;5
Dieter Prangenberg;5
Oliver Möller;5
Ulrich Hertrampf;22
Rainer Tichatschke;24
Friedemann Leibfritz;7
Peter Gritzmann;24
Bernd Sturmfels;85
Helmut Seidl;123
Gurami Tsitsiashvili;3
Patrick Justen;2
Ulrich Raber;5
Thorsten Theobald;45
Abdelouahed Hamdi;7
Vladimir Rykov;6
Gerhard J. Woeginger;431
Jens Hofmann 0001;4
Michael Ruvimovich Davidson;4
Stephan Waack;65
Katja Lenz;4
Alexander Hufnagel;5
David G. Larman;10
Petra Scheffler;6
Stasys Jukna;63
Luciano Lenzini;46
S. Rotin;3
Dirk Frosch;2
Craig Smith;8
Vladimir V. Kalashnikov;8
C. Ould Ahmed Salem;2
Marco Gilbert;2
Lars Abbe;2
Markus Roters;4
Jirí Sgall;82
Subhendu Bikash Hazra;4
Oleg V. Khamisov;8
Markus Holzer 0001;76
Markus Müller-Olm;20
Norbert Th. Müller;20
Dirk Frosch-Wilke;9
Eric Allender;51
Hubertus Th. Jongen;11
Wolfgang Effelsberg;193
Aditya V. Nori;22
Joachim Reiter;4
Rustam Mubarakzjanov;6
Ulrich Holtmann;5
Tim Voetmann;2
Peter Rossmanith;92
Ditmar Erdmann;2
Peter Dierolf;3
Markus R. Schmidt;2
Klaus W. Wagner;99
B. S. Tam;2
Anderson Rocha 0001;82
Arnon Rosenthal;43
Tim Berners-Lee;24
Dan Suciu;300
Robin Cover;3
E. F. Codd;43
C. J. Date;40
Ralf Merz;2
John Lions;10
Patrick A. V. Hall;14
Markus Tresch;13
Andreas Rock;2
Bir Bhanu;220
Marijke De Soete;23
Chen-Mou Cheng;23
Kui Ren 0001;162
Carlisle Adams;79
