keyword;nbr_utilisation
keywords;944
SPECTRE;90
ATTACKS;16200
EXPLOITING;12827
SPECULATIVE;1152
EXECUTION;10323
MELTDOWN;44
COMPUTER;55275
SCIENCE;21340
CURRICULA;682
2013;7098
EVALUATION;80937
OBJECT;49309
ORIENTED;36560
DBMS;969
DEVELOPMENTS;2513
1994;814
EDITION;1555
DARWIN;158
INCREMENTAL;10632
MIGRATION;5367
LEGACY;2120
INFORMATION;148219
SYSTEMS;298597
INTEGRATING;14365
HETEROGENEOUS;30350
AUTONOMOUS;20855
DISTRIBUTED;92112
APPLICATIONS;98256
USING;451818
DOM;180
PROTOTYPE;5516
MODEL;224783
CAPABILITIES;4029
MANAGEMENT;92106
MIDDLEWARE;5699
RELATIONAL;10857
DATABASES;16210
TOWARDS;58519
TRANSACTION;3967
SYSTEM;253797
RISC;826
INTEROPERATION;263
CONCEPTS;8634
METAOBJECT;27
PROTOCOL;34470
DATA;276790
LANGUAGE;50595
FACILITIES;1613
MULTIMEDIA;21021
TYPES;8934
TECHNOLOGY;43944
EXPERIMENTS;10429
DISPATCHING;973
MUFFIN;12
DATABASE;27462
MACHINE;57789
GENERALIZATION;5685
INHERITANCE;1187
ADTS;18
REVISED;3823
MODIFICATION;2636
USER;60988
DEFINED;7935
IMPROVEMENTS;2538
VALUE;20257
UNIFICATION;1892
DIE;9334
REPRÄSENTATION;160
RÄUMLICHEN;56
WISSENS;98
UND;25836
BEHANDLUNG;164
VON;19975
EINBETTUNGSPROBLEMEN;2
MIT;7323
QUADTREEDEPIKTIONEN;1
ALGEBRAICAL;14
OPTIMIZATION;98329
FTA;41
EXPRESSIONS;5314
WISSENSREPRÄSENTATION;79
MASCHINELLES;55
LERNEN;580
ALGEBRAIC;10725
CHARACTERIZATION;16274
STUF;9
COMBINED;9422
SYMBOLIC;8058
EMPIRICAL;20334
APPRACH;3
AUTOMATIC;53659
TRANSLATION;14014
COMPOUNDS;1165
ZUR;12021
SYSTEMARCHITEKTUR;42
LILOG;61
MENGENORIENTIERTE;4
AUSWERTUNG;286
ANFRAGEN;77
DER;22516
LOGIKPROGRAMMIERSPRACHE;4
PROLOG;2579
DEFINITE;1108
RESOLUTION;26238
CONSTRAINT;16871
LANGUAGES;16359
DOKUMENTATION;183
SYNTAX;2578
GRAMMATIK;34
COGNITIVE;31922
LINGUISTICS;1121
PROCESSING;52470
SPATIAL;35806
DB;1470
SUPPORT;55102
KNOWLEDGE;63893
BASED;673164
DIFFERENTIAL;25419
CLOSURE;2397
COMPUTATION;26174
GENERAL;20440
HORN;943
CLAUSE;717
QUERIES;11875
SQL;2269
VSE;29
APPLICATION;94446
DEVELOPMENT;62318
LOGICAL;5919
OPERATIONAL;5571
SEMANTICS;14700
FULL;12615
EIN;6888
FACT;794
MANAGER;1711
PERSISTENTEN;6
SPEICHERUNG;66
VARIABEL;7
STRUKTURIERTER;69
KOMPLEXER;321
OBJEKTE;255
COULD;709
GOOD;5109
PRACTICAL;15300
NLP;1602
LOOK;3987
LIKE;10675
MÖGLICHKEITEN;329
EINSATZES;132
EINES;3870
DREIWERTIGEN;4
THEOREMBEWEISERS;2
ATTRIBUTE;9102
IMPLEMENTED;1580
TOP;6239
LMT;12
DEMONSTRATION;4040
IMPLEMENTATION;48579
ASPECTS;8061
NATURAL;18100
UNDERSTANDING;21227
ENVIRONMENT;47035
SORT;911
DEDUCTIVE;1619
EFTA;6
RETRIEVAL;36814
ALGEBRA;6587
FEATURE;46136
TERMS;4222
OPERATION;8999
OVERVIEW;9420
PLANNING;35958
PROTOS;21
ÜBER;1429
ANSÄTZE;296
DARSTELLUNG;294
KONZEPTEN;63
PROTOTYPEN;55
ATTRIBUTIVE;44
CONCEPT;15018
DESCRIPTIONS;3020
UNIONS;334
COMPLEMENTS;325
PRAKTISCHER;26
ALGORITHMUS;197
FÜR;14525
E;36840
UNIFIKATION;15
SIMULATION;64374
SPRACHLICHEN;16
VERSTEHENS;2
GENERELLE;6
PROBLEME;429
BEI;2885
SEMANTISCHEN;85
INTERPRETATION;6704
NATÜRLICHEN;31
SPRACHE;297
INSTITUTE;851
IBM;1889
GERMANY;3621
SCIENTIFIC;11812
CENTER;7570
KONZEPTION;589
IMPLEMENTIERUNG;623
GLEICHHEIT;6
EINEN;270
TABLEAU;511
BASIERTEN;235
THEOREM;9910
BEWEISER;5
BASE;10867
PROGRAMMING;53090
SYNTAKTISCHE;28
INFORMATIONSEINHEITEN;3
ZU;1339
DEUTSCHEN;361
ADJEKTIVEN;1
EQUALITY;1578
SORTS;97
LOGIC;43405
DING;34
DOMÄNEN;26
ORIENTIERTER;66
INKREMENTELLER;4
INTEGRIERTER;162
GENERATOR;7005
KOHÄRENTE;3
TEXTE;158
PROZEDURALE;9
SEMANTIK;127
SPRECHERGEGENWART;1
ELSASS;1
WANDERUNG;1
LINGUISTEN;2
EXEMPLARISCHE;20
ANALYSE;4343
SATZES;5
AUS;1717
EINER;2935
REISEBESCHREIBUNG;1
DICTIONARY;5421
DIALOG;2250
ENTWURF;1131
FUNKTIONSUMFANGS;3
EINE;3907
BENUTZERSCHNITTSTELLE;47
INTEGRIERTEN;214
MASCHINELLEN;61
MASCHINENUNTERSTÜTZTEN;1
ÜBERSETZUNGSSYSTEMS;1
PROTOTYPISCHE;62
ERSTELLUNG;300
BILDSCHIRMFOLGE;1
FUNKTION;63
SEMANTISCHE;179
RELATION;7837
COMPUTATIONAL;27816
THREE;25898
VALUED;9059
PROGRAMS;20380
EQUATIONAL;858
ABSTRACT;15716
TYPE;27771
SPECIFICATIONS;6009
REUSABLE;1673
LEXICAL;4211
TOOL;32023
LAMBEK;220
KALKÜL;25
LOGIK;216
LEXIKALISCHE;11
GRAMMATIKEN;86
PARENTHETISCHE;1
KONSTRUKTIONEN;20
SYMMETRIC;9296
COORDINATION;9805
ALTERNATIVE;5896
THEORY;43914
PHRASE;1917
STRUCTURE;41436
APPROACH;180523
MANAGE;1440
LARGE;56760
NETWORKS;284294
PROBLEM;70431
MASKING;1694
SPECIAL;16365
ERRORS;8250
SERIAL;3124
SIGNATURE;8074
ANALYSIS;260980
DREIWERTIGE;4
VERARBEITUNG;316
PARTIELLER;27
INFERENCE;18940
ENGINE;8716
FUNCTION;29794
FREE;30859
ASPEKTE;402
GENERIERUNG;353
WEGBESCHREIBUNGEN;5
DAS;3400
PROJEKT;316
EXCEPT;38
EXPERT;8529
AIDED;10794
ENVIRONMENTAL;8126
TASKS;12180
FORMAL;17659
III;2223
DYNAMIC;95683
ALGEBRAS;4185
SUBSUMTION;2
ERWEITERTE;59
SORTENBESCHREIBUNGSSPRACHE;1
MATHEMATISCHE;124
GRUNDLAGEN;680
FORMALEN;70
LINGUISTIK;36
KOMPENDIUM;22
STRUKTUR;225
LEXIKONS;1
ÜBERBLICK;179
RICHTUNGSANGABE;1
ODER;486
WEGKONNEKTOR;1
RÄMLICHES;1
ZURÜCK;30
SEINE;157
VORÜBERLEGUNGEN;5
DEPIKTIONALEN;3
FULLY;10240
PERSISTENT;3227
B;7881
MODALE;34
INFINITIV;2
BESCHREIBUNG;319
SNAPSHOTS;338
EASE;484
DATENBANKUNTERSTÜTZUNG;17
WISSENSBASIERTE;304
SYSTEME;2230
ONTOLOGIE;226
AXIOMATIK;4
WISSENSBASIS;24
LEU;17
2;43032
ERFAHRUNGEN;567
AUSBLICKE;3
TEMPORALES;33
SCHLIESSEN;52
EINEM;1072
NATÜRLICHSPRACHLICHEN;38
INTELLIGENTEN;79
ORGANISATION;1406
WISSENSBESTÄNDEN;1
KÜNSTLICHEN;122
SYSTEMEN;1350
ASSERTING;26
RETRACTING;10
CLAUSES;554
CORRECTNESS;1961
PROOF;9077
WAM;91
WORD;16383
ORDER;44424
FOCUS;3830
PROJECTION;8081
KL;244
ONE;21356
EINFÜHRUNG;753
IMPROVING;32184
CONCURRENCY;3509
INTEGRITY;4289
CHECKS;404
WRITE;2061
OPERATIONS;10558
VERGLEICHSKONSTRUKTIONEN;1
EREIGNISSE;17
IHRE;518
TEXTSEMANTISCHER;2
SICHT;334
DATENBANKKERN;4
MEDIZIN;150
GMDS;19
GI;977
ABSTRACTS;1350
1;29614
GEMEINSAMEN;53
WORKSHOPS;1906
AG;512
EXPERTENSYSTEME;130
FG;187
DIAGNOSTIK;90
KLASSIFIKATION;235
IM;7105
FACHAUSSCHUSS;13
5;11242
29;2751
30;3156
MÄRZ;205
1990;672
HEIDELBERG;168
EXPERIMENTATION;1649
PARSING;6103
STRATEGIES;22668
LOGISCHES;11
CLUSTERING;44482
PROZEDUREN;15
MULTIWORD;333
LEXEMES;18
MONOLINGUAL;509
CONTRASTIVE;646
TYPOLOGY;595
MT;945
ELIMINATION;3636
CALCULUS;7035
GENERALIZED;28204
QUANTITATIVE;9775
ANALYSEN;93
WÖRTERBÜCHERN;6
REPRESENTATION;31747
IDIOMS;168
MENGENKONZEPTE;1
UNIFIKATIONSGRAMMATIKEN;5
GAMMA;2192
0;16864
ARY;1699
INTERFACE;23984
OBJECTS;20403
TREATMENT;5392
STUDY;107261
POSITION;9355
BEWEGUNG;49
LOKALER;62
VERBEN;15
SYSTEMATIK;35
MORPHOLOGISCHER;14
PARADIGMEN;17
COMPUTERMORPHOLOGIE;1
EXTENSION;9336
SPECIFICATION;10493
DOMAIN;38989
RESTRICTION;736
KINDS;563
REFERENCE;11964
SET;30774
SENTENCE;3746
DISCOURSE;3355
UMWELTBEWERTUNG;1
ÖKOLOGISCHER;11
LERNVERFAHREN;53
VERVOLLSTÄNDIGUNG;10
HORNKLAUSELMENGEN;4
DURCH;2253
INVERSE;10119
BEISPIEL;1685
WISSENSBASIERTEN;148
PRODUKTIONSPLANUNG;70
ZUM;2340
BEGRIFF;31
ARGUMENTSTRUKTUR;2
RAHMEN;299
GENERATIVER;6
WORBILDUNGSTHEORETISCHER;1
STANDARDS;5283
PROGRAMMIEREN;160
VERSION;5236
TERM;14665
ANALYSEVORSCHLÄGE;1
LOKALEN;114
PRÄFIXVERBEN;2
LOGICS;5974
GRAMMARS;4471
TRANSAKTIONSKONZEPT;5
DISJUNCTIVE;1028
REPRÄSENTATIONEN;21
ROLE;20180
REASONING;19676
CHANGE;16230
PRESUPPOSITIONS;53
PART;14230
II;10215
BUILT;2625
PREDICATES;947
MANIPULATIONS;376
BRIEF;2276
OVERLOOK;8
LEISTUNGSANALYSE;56
DATENBANKSYSTEMS;46
RENDEZVOUS;979
EXPERIMENTAL;18533
ENGLISH;7090
QUERY;20323
FORMULATION;4615
CASUAL;344
USERS;15957
BASES;5824
MODALS;30
SCOPE;1324
NEGATION;1104
OPTIONALITY;12
HPSG;172
PROPERTIES;20868
GERMAN;2659
SORTED;631
PARSINGSTRATEGIEN;2
ID;1926
LP;1247
REGELN;59
LATTICE;8412
DEPENDENCIES;3510
TEXT;31378
1ST;1270
PRÄNOMINALER;1
ELEMENTE;119
KATEGORIALEN;4
UNIFIKATIONSGRAMMATIK;5
WISSENSBASISVERWALTUNG;1
FIT;2134
CHOMSKY;93
HIERARCHY;5164
ERWEITERUNG;189
WISSENSREPRÄSENTATIONSSPRACHE;2
UM;1230
KONSTRUKTE;9
SPEZIFIKATION;318
KONTROLLINFORMATION;1
STRATEGIEN;167
PRONOMINALISIERUNG;1
INDEX;13296
PATH;26442
LENGTH;9256
RESEARCH;52577
STORAGE;18607
R;9907
FILM;2612
ÖDED;1
PUBLIKUM;2
AUFBAU;371
MASCHINENLESBAREN;3
WÖRTERBUCHS;4
DEUTSCHE;142
OPERATIONEN;55
ERWEITERTEN;58
TYPUNIFIKATIONSFORMALISMEN;1
WEBS;201
STATISTISCHE;99
UNTERSUCHUNGEN;573
EINSPRACHIGEN;2
ZEITUNGSTEXTEN;2
INTERNATIONAL;35308
WORKSHOP;18468
TERMINOLOGICAL;436
PROCEEDINGS;26907
LINGUISTISCHE;46
LOGISCHE;61
METHODEN;1100
MASCHINELLE;71
VERSTEHEN;77
PROJEKTBESCHREIBUNG;2
MATHEMATICAL;9736
ARTIFICIAL;23503
INTELLIGENCE;18326
MERKMALE;64
SUBSTANTIVE;45
MEHRDEUTIGEN;3
ÜBERSETZUNG;75
UNTERSUCHUNG;671
VERTEILTEN;557
LOGISCHEN;68
PROGRAMMIERUNG;452
STEPWISE;639
SOFTWARE;92454
MODULES;3667
THEORIE;426
ZEITLICHE;27
BEZIEHUNGEN;70
ZWISCHEN;587
EREIGNISSEN;12
STUTTGART;149
FORMALISM;1221
MANUAL;1780
LOKALE;84
PRÄPOSITIONEN;4
KONZEPTUELLE;28
ILFA;1
TRANSACTIONS;3091
CONSISTENCY;7761
FILES;2088
ARITHMETIC;6464
INPUT;17179
OUTPUT;15458
METHODS;56632
ADMINISTRATE;4
ACCESS;41308
CONTROL;175227
LOKALISIERUNGSAUSDRÜCKEN;2
HYBRIDEN;72
INTEGRATION;28828
CONSTRAINTS;25374
MENTALE;30
BILDER;75
WEGBEDEUTUNGEN;2
PLURALBEHANDLUNG;1
WISSENSVERABEITUNGSSYSTEMEN;1
VOCABULARY;2842
EXTENSIONS;4899
PERSISTENCE;1390
JUSTIFIED;100
CAUSATION;267
REMARKS;1733
NONMONOTONIC;710
TEMPORAL;33272
ANAPHORA;468
KOORDINATION;75
NICHTVERBALEN;1
SATZKONSTITUENTEN;1
DESIGN;172599
TLPROLOG;1
V;5648
INTERMEDIATE;1755
REPORT;8423
CONCEPTUAL;9617
TIME;180299
QUALITÄTSSICHERUNG;161
PROGRAMMVERIFIKATION;10
ALGEBRAISCHE;52
SOFTWAREENTWICKLUNG;261
GRAPHS;49782
UNIFYING;2154
MANY;8121
PROVER;710
REKONSTRUKTION;177
HINTERGRUNDWISSEN;6
WISSENSBASIERTES;122
TEXTVERSTEHENDES;1
SUBSORTS;9
DRAFT;298
POLYNOMIAL;13971
METHOD;133473
FINDING;13554
IRREGULARITIES;119
EXAMPLE;5823
SETS;25530
COMPILATION;2343
COMPLEX;31201
DATALOG;859
STRATIFIED;918
INTERAKTION;394
PROPOSITIONALEN;4
BILDHAFTEN;6
PREDICATE;1660
CLOSELY;325
COUPLED;10677
TAXONOMIC;448
XRM;8
EXTENDED;17962
MEMORY;39094
GRUNDWORTSCHATZ;1
MODULARER;47
ANSATZ;826
PRINZIPIENBASIERTES;1
QUANTIFIKATION;2
PLURAL;162
ARGUMENTE;6
MEHRSORTIGEN;3
PRÄDIKATENLOGIK;13
ERSTER;35
STUFE;16
OSKAR;8
PROGRAMM;103
MODELLING;29364
DIMENSIONAL;33496
DESIGNATION;64
POSITIONAL;635
VARIATION;7748
SPACE;47702
EXTENDING;6294
WARREN;44
POLYMORPHIC;955
TEXTUNDERSTANDING;2
CONPECTS;1
DERIVATIONSMORPHOLOGIE;1
ÜBERSETZUNGSSYSTEM;6
WEGPLANUNG;6
WEGBESCHREIBUNG;1
ELEKTRONISCHE;301
WÖRTERBÜCHER;6
LEXIKA;6
ABSCHLUSSBERICHT;11
DEFINITIONSPHASE;2
FLL;28
FIRST;18264
VP;163
ELLIPSEN;1
SACHVERHALTSANAPHERN;1
COMPUTERUNTERSTÜTZTE;85
UMWELTVERTRÄGLICHKEITSPRÜFUNG;5
KONZEPTUELLES;6
MEHRSPRACHIGEN;2
LEXIKALISCHEN;9
DATENBANK;254
LITERALS;83
PERSISTENTE;13
DATENSPEICHERUNG;11
PROGRAMMIERSPRACHE;121
RELATIONALEN;105
DEDUKTIVEN;32
DATENBANKEN;590
SUBSUMPTION;366
SEMIUNIFACTION;2
LEVEL;48957
BELIEF;6529
REVISION;1674
