id_publication;date_pub;article_title;categorie;nbr_authors
tr/meltdown/s18;2020-06-25;Spectre Attacks: Exploiting Speculative Execution.;article;1,0
tr/meltdown/m18;2020-06-25;Meltdown;article;1,0
tr/acm/CS2013;2019-05-27;Computer Science Curricula 2013;book;0
tr/gte/TR-0263-08-94-165;2019-10-25;An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.;article;1
tr/gte/TR-0222-10-92-165;2019-10-25;DARWIN: On the Incremental Migration of Legacy Information Systems;article;2
tr/gte/TR-0174-12-91-165;2019-10-25;Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.;article;3
tr/gte/TM-0149-06-89-165;2019-10-25;Object Model Capabilities For Distributed Object Management.;article;1
tr/gte/TR-0310-11-95-165;2019-10-25;Integrating Object-Oriented Applications and Middleware with Relational Databases.;article;1
tr/gte/TR-0146-06-91-165;2019-10-25;Towards a Transaction Management System for DOM.;article;3
tr/gte/TR-0231-08-93-165;2019-10-25;A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.;article;2
tr/gte/TR-0244-12-93-165;2019-10-25;MetaObject Protocol Concepts for a RISC Object Model.;article;1
tr/gte/TR-0169-12-91-165;2019-10-25;Object Data Language Facilities for Multimedia Data Types.;article;1
tr/gte/TM-0332-11-90-165;2019-10-25;Object Data Model Facilities for Multimedia Data Types.;article;3
tr/gte/TM-0014-06-88-165;2019-10-25;Distributed Object Management Technology.;article;1
tr/gte/TR-0236-09-93-165;2019-10-25;Experiments with Dispatching in a Distributed Object System.;article;2
tr/ucb/erl-m79-28;2017-06-08;Muffin: A Distributed Database Machine;article;1
tr/sql/X3H2-90-412;2019-10-25;Object Oriented DBMS as a Generalization of Relational DBMS;article;2
tr/sql/X3H2-91-133rev1;2019-10-25;Inheritance for ADTs (revised);article;4
tr/sql/X3H2-90-292;2019-10-25;Modification of User Defined Types;article;1
tr/sql/X3H2-91-083rev1;2019-10-25;Object ADTs (with improvements for Value ADTs);article;3
tr/sql/X3H2-92-062;2019-10-25;Unification of Value and Object ADTs;article;1
tr/ibm/IWBS191;2017-06-08;Die Repräsentation räumlichen Wissens und die Behandlung von Einbettungsproblemen mit Quadtreedepiktionen;article;1
tr/ibm/LILOG59;2017-06-08;Algebraical Optimization of FTA-Expressions;article;1
tr/ibm/LILOG15;2017-06-08;Wissensrepräsentation und Maschinelles Lernen;article;2
tr/ibm/LILOG40;2017-06-08;An Algebraic Characterization of STUF;article;3
tr/ibm/IWBS225;2017-06-08;A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds;article;3
