author;id_publication
Paul Kocher;tr/meltdown/s18
Daniel Genkin;tr/meltdown/s18
Daniel Gruss;tr/meltdown/s18
Werner Haas 0004;tr/meltdown/s18
Mike Hamburg;tr/meltdown/s18
Moritz Lipp;tr/meltdown/s18
Stefan Mangard;tr/meltdown/s18
Thomas Prescher 0002;tr/meltdown/s18
Michael Schwarz 0001;tr/meltdown/s18
Yuval Yarom;tr/meltdown/s18
Moritz Lipp;tr/meltdown/m18
Michael Schwarz 0001;tr/meltdown/m18
Daniel Gruss;tr/meltdown/m18
Thomas Prescher 0002;tr/meltdown/m18
Werner Haas 0004;tr/meltdown/m18
Stefan Mangard;tr/meltdown/m18
Paul Kocher;tr/meltdown/m18
Daniel Genkin;tr/meltdown/m18
Yuval Yarom;tr/meltdown/m18
Mike Hamburg;tr/meltdown/m18
Frank Manola;tr/gte/TR-0263-08-94-165
Michael L. Brodie;tr/gte/TR-0222-10-92-165
Michael Stonebraker;tr/gte/TR-0222-10-92-165
Mark F. Hornick;tr/gte/TR-0174-12-91-165
Joe D. Morrison;tr/gte/TR-0174-12-91-165
Farshad Nayeri;tr/gte/TR-0174-12-91-165
Frank Manola;tr/gte/TM-0149-06-89-165
Frank Manola;tr/gte/TR-0310-11-95-165
Alejandro P. Buchmann;tr/gte/TR-0146-06-91-165
M. Tamer Özsu;tr/gte/TR-0146-06-91-165
Dimitrios Georgakopoulos;tr/gte/TR-0146-06-91-165
Frank Manola;tr/gte/TR-0231-08-93-165
Sandra Heiler;tr/gte/TR-0231-08-93-165
Frank Manola;tr/gte/TR-0244-12-93-165
Frank Manola;tr/gte/TR-0169-12-91-165
Frank Manola;tr/gte/TM-0332-11-90-165
Mark F. Hornick;tr/gte/TM-0332-11-90-165
Alejandro P. Buchmann;tr/gte/TM-0332-11-90-165
Frank Manola;tr/gte/TM-0014-06-88-165
Farshad Nayeri;tr/gte/TR-0236-09-93-165
Benjamin Hurwitz;tr/gte/TR-0236-09-93-165
Michael Stonebraker;tr/ucb/erl-m79-28
David Beech;tr/sql/X3H2-90-412
Cetin Ozbutun;tr/sql/X3H2-90-412
Krishna G. Kulkarni;tr/sql/X3H2-91-133rev1
Jim Melton;tr/sql/X3H2-91-133rev1
Jonathan Bauer;tr/sql/X3H2-91-133rev1
Mike Kelley;tr/sql/X3H2-91-133rev1
Phil Shaw;tr/sql/X3H2-90-292
Jim Melton;tr/sql/X3H2-91-083rev1
Jonathan Bauer;tr/sql/X3H2-91-083rev1
Krishna G. Kulkarni;tr/sql/X3H2-91-083rev1
David Beech;tr/sql/X3H2-92-062
Rolf Sander;tr/ibm/IWBS191
Thomas Ludwig 0001;tr/ibm/LILOG59
Werner Emde;tr/ibm/LILOG15
Claus-Rainer Rollinger;tr/ibm/LILOG15
Christoph Beierle;tr/ibm/LILOG40
Udo Pletat;tr/ibm/LILOG40
Hans Uszkoreit;tr/ibm/LILOG40
Ulrike Rackow;tr/ibm/IWBS225
Ido Dagan;tr/ibm/IWBS225
Ulrike Schwall;tr/ibm/IWBS225
Brigitte Bartsch-Spörl;tr/ibm/LILOGM2
Erich Gehlen;tr/ibm/LILOG61
Burkhard Kehrbusch;tr/ibm/LILOG61
Markus Höhfeld;tr/ibm/LILOG53
Gert Smolka;tr/ibm/LILOG53
Birgit Wesche;tr/ibm/LILOGM9
Christopher Habel;tr/ibm/LILOG45
Thomas Ludwig 0001;tr/ibm/LILOG56
Bernd Walter;tr/ibm/LILOG56
Michael Ley;tr/ibm/LILOG56
Albert Maier;tr/ibm/LILOG56
Erich Gehlen;tr/ibm/LILOG56
Thomas Ludwig 0001;tr/ibm/IWBS201
Stefan Benzschawel;tr/ibm/IWBS201
Erich Gehlen;tr/ibm/IWBS201
Egon Börger;tr/ibm/IWBS111
Michael Ley;tr/ibm/LILOG60
Roland Seiffert;tr/ibm/IWBS228
Gisela Schöpke;tr/ibm/IWBS188
Stefan Böttcher;tr/ibm/IWBS87
Ulrike Schwall;tr/ibm/IWBS177
Rudi Studer;tr/ibm/LILOG3
Bernd Walter;tr/ibm/LILOG3
Albert Maier;tr/ibm/IWBS154
Michael Ley;tr/ibm/IWBS154
Erich Gehlen;tr/ibm/IWBS154
Thomas Ludwig 0001;tr/ibm/IWBS150
Bernd Walter;tr/ibm/IWBS150
Toni Bollinger;tr/ibm/IWBS165
Udo Pletat;tr/ibm/IWBS165
Christoph Beierle;tr/ibm/IWBS163
Carola Eschenbach;tr/ibm/LILOG34
Manfred Schmidt-Schauß;tr/ibm/IWBS68
Gert Smolka;tr/ibm/IWBS68
Hans-Joachim Goltz;tr/ibm/IWBS166
Claus-Rainer Rollinger;tr/ibm/LILOG5
Otthein Herzog;tr/ibm/IWBS126
Bernhard Beckert;tr/ibm/IWBS208
Christoph Beierle;tr/ibm/IWBS89
Stefan Böttcher;tr/ibm/IWBS89
Stefan J. Schierholz;tr/ibm/IWBS212
Christoph Beierle;tr/ibm/LILOG37
Udo Pletat;tr/ibm/LILOG37
Birgit Wendholt;tr/ibm/IWBS237
Gudrun Klose;tr/ibm/IWBS180
Michael Herweg;tr/ibm/LILOGM8
Mohammed Nadjib Khenkhar;tr/ibm/LILOGM8
