id_publication;id_venue
tr/meltdown/s18;id_meltdownattack.com
tr/meltdown/m18;id_meltdownattack.com
tr/acm/CS2013;
tr/gte/TR-0263-08-94-165;id_GTE Laboratories Incorporated
tr/gte/TR-0222-10-92-165;id_GTE Laboratories Incorporated
tr/gte/TR-0174-12-91-165;id_GTE Laboratories Incorporated
tr/gte/TM-0149-06-89-165;id_GTE Laboratories Incorporated
tr/gte/TR-0310-11-95-165;id_GTE Laboratories Incorporated
tr/gte/TR-0146-06-91-165;id_GTE Laboratories Incorporated
tr/gte/TR-0231-08-93-165;id_GTE Laboratories Incorporated
tr/gte/TR-0244-12-93-165;id_GTE Laboratories Incorporated
tr/gte/TR-0169-12-91-165;id_GTE Laboratories Incorporated
tr/gte/TM-0332-11-90-165;id_GTE Laboratories Incorporated
tr/gte/TM-0014-06-88-165;id_GTE Laboratories Incorporated
tr/gte/TR-0236-09-93-165;id_GTE Laboratories Incorporated
tr/ucb/erl-m79-28;id_University of California at Berkeley
tr/sql/X3H2-90-412;id_ANSI X3H2
tr/sql/X3H2-91-133rev1;id_ANSI X2H2
tr/sql/X3H2-90-292;id_ANSI X3H2
tr/sql/X3H2-91-083rev1;id_ANSI X3H2
tr/sql/X3H2-92-062;id_ANSI X3H2
tr/ibm/IWBS191;id_IWBS Report
tr/ibm/LILOG59;id_LILOG-Report
tr/ibm/LILOG15;id_LILOG-Report
tr/ibm/LILOG40;id_LILOG-Report
tr/ibm/IWBS225;id_IWBS Report
tr/ibm/LILOGM2;id_LILOG-Memo
tr/ibm/LILOG61;id_LILOG-Report
tr/ibm/LILOG53;id_LILOG-Report
tr/ibm/LILOGM9;id_LILOG-Memo
tr/ibm/LILOG45;id_LILOG-Report
tr/ibm/LILOG56;id_LILOG-Report
tr/ibm/IWBS201;id_IWBS Report
tr/ibm/G320-6590;id_IBM Publication
tr/ibm/IWBS111;id_IWBS Report
tr/ibm/LILOG60;id_LILOG-Report
tr/ibm/IWBS228;id_IWBS Report
tr/ibm/IWBS188;id_IWBS Report
tr/ibm/IWBS87;id_IWBS Report
tr/ibm/IWBS177;id_IWBS Report
tr/ibm/LILOG3;id_LILOG-Report
tr/ibm/IWBS154;id_IWBS Report
tr/ibm/IWBS150;id_IWBS Report
tr/ibm/IWBS165;id_IWBS Report
tr/ibm/IWBS163;id_IWBS Report
tr/ibm/LILOG34;id_LILOG-Report
tr/ibm/IWBS68;id_IWBS Report
tr/ibm/IWBS166;id_IWBS Report
tr/ibm/LILOG5;id_LILOG-Report
tr/ibm/IWBS126;id_IWBS Report
tr/ibm/IWBS208;id_IWBS Report
tr/ibm/IWBS89;id_IWBS Report
tr/ibm/IWBS212;id_IWBS Report
tr/ibm/LILOG37;id_LILOG-Report
