id_publication;id_year
tr/meltdown/s18;id_2018
tr/meltdown/m18;id_2018
tr/acm/CS2013;id_2013
tr/gte/TR-0263-08-94-165;id_1994
tr/gte/TR-0222-10-92-165;id_1993
tr/gte/TR-0174-12-91-165;id_1991
tr/gte/TM-0149-06-89-165;id_1989
tr/gte/TR-0310-11-95-165;id_1995
tr/gte/TR-0146-06-91-165;id_1991
tr/gte/TR-0231-08-93-165;id_1993
tr/gte/TR-0244-12-93-165;id_1993
tr/gte/TR-0169-12-91-165;id_1991
tr/gte/TM-0332-11-90-165;id_1990
tr/gte/TM-0014-06-88-165;id_1988
tr/gte/TR-0236-09-93-165;id_1993
tr/ucb/erl-m79-28;id_1979
tr/sql/X3H2-90-412;id_1990
tr/sql/X3H2-91-133rev1;id_1991
tr/sql/X3H2-90-292;id_1990
tr/sql/X3H2-91-083rev1;id_1991
tr/sql/X3H2-92-062;id_1992
tr/ibm/IWBS191;id_1991
tr/ibm/LILOG59;id_1988
tr/ibm/LILOG15;id_1987
tr/ibm/LILOG40;id_1988
tr/ibm/IWBS225;id_1992
tr/ibm/LILOGM2;id_1987
tr/ibm/LILOG61;id_1988
tr/ibm/LILOG53;id_1988
tr/ibm/LILOGM9;id_1988
tr/ibm/LILOG45;id_1988
tr/ibm/LILOG56;id_1988
tr/ibm/IWBS201;id_1991
tr/ibm/G320-6590;id_1981
tr/ibm/IWBS111;id_1990
tr/ibm/LILOG60;id_1988
tr/ibm/IWBS228;id_1992
tr/ibm/IWBS188;id_1991
tr/ibm/IWBS87;id_1989
tr/ibm/IWBS177;id_1991
tr/ibm/LILOG3;id_1986
tr/ibm/IWBS154;id_1991
tr/ibm/IWBS150;id_1991
tr/ibm/IWBS165;id_1991
tr/ibm/IWBS163;id_1991
tr/ibm/LILOG34;id_1988
tr/ibm/IWBS68;id_1989
tr/ibm/IWBS166;id_1991
tr/ibm/LILOG5;id_1986
tr/ibm/IWBS126;id_1990
tr/ibm/IWBS208;id_1992
tr/ibm/IWBS89;id_1989
tr/ibm/IWBS212;id_1992
tr/ibm/LILOG37;id_1987
tr/ibm/IWBS237;id_1992
tr/ibm/IWBS180;id_1991
tr/ibm/LILOGM8;id_1988
tr/ibm/IWBS220;id_1992
tr/ibm/LILOGM4;id_1987
tr/ibm/LILOG26;id_1987
tr/ibm/LILOG38;id_1988
tr/ibm/IWBS157;id_1991
tr/ibm/IWBS231;id_1992
tr/ibm/IWBS146;id_1990
tr/ibm/IWBS199;id_1991
tr/ibm/IWBS241;id_1992
tr/ibm/LILOG8;id_1987
tr/ibm/IWBS159;id_1999
tr/ibm/LILOG27;id_1987
tr/ibm/IWBS132;id_1990
tr/ibm/IWBS190;id_1991
tr/ibm/IWBS114;id_1990
tr/ibm/IWBS144;id_1990
tr/ibm/IWBS83;id_1989
tr/ibm/IWBS121;id_1990
tr/ibm/LILOG29;id_1988
tr/ibm/IWBS130;id_1990
tr/ibm/IWBS210;id_1992
tr/ibm/LILOG19;id_1988
tr/ibm/IWBS135;id_1990
tr/ibm/LILOG11;id_1987
tr/ibm/RJ2772;id_1980
tr/ibm/LILOG23;id_1987
tr/ibm/LILOG10;id_1987
tr/ibm/IWBS171;id_1991
tr/ibm/IWBS162;id_1991
tr/ibm/IWBS91;id_1989
tr/ibm/LILOG7;id_1987
tr/ibm/IWBS205;id_1991
tr/ibm/LILOG13;id_1987
tr/ibm/IWBS106;id_1990
tr/ibm/IWBS134;id_1990
tr/ibm/IWBS96;id_1989
tr/ibm/IWBS192;id_1991
tr/ibm/IWBS107;id_1989
tr/ibm/IWBS112;id_1990
tr/ibm/IWBS167;id_1991
tr/ibm/LILOG50;id_1988
tr/ibm/IWBS232;id_1992
tr/ibm/IWBS182;id_1991
tr/ibm/IWBS189;id_1991
tr/ibm/IWBS169;id_1991
tr/ibm/IWBS156;id_1991
tr/ibm/IWBS223;id_1992
tr/ibm/RJ1200;id_1973
tr/ibm/IWBS221;id_1992
tr/ibm/IWBS138;id_1990
tr/ibm/IWBS217;id_1992
tr/ibm/IWBS200;id_1991
tr/ibm/IWBS178;id_1991
tr/ibm/IWBS195;id_1991
tr/ibm/IWBS84;id_1989
tr/ibm/IWBS170;id_1991
tr/ibm/LILOG35;id_1988
tr/ibm/LILOGM5;id_1987
tr/ibm/IWBS202;id_1991
tr/ibm/IWBS224;id_1992
tr/ibm/IWBS93;id_1989
tr/ibm/LILOGM3;id_1987
tr/ibm/IWBS124;id_1990
tr/ibm/LILOG43;id_1988
tr/ibm/IWBS234;id_1992
tr/ibm/IWBS115;id_1990
tr/ibm/IWBS102;id_1989
tr/ibm/IWBS198;id_1991
tr/ibm/RJ2144;id_1978
tr/ibm/IWBS194;id_1991
tr/ibm/IWBS108;id_1990
tr/ibm/LILOGM6;id_1987
tr/ibm/IWBS99;id_1989
tr/ibm/IWBS153;id_1991
tr/ibm/IWBS72;id_1989
tr/ibm/IWBS70;id_1989
tr/ibm/LILOG30;id_1988
tr/ibm/IWBS80;id_1989
tr/ibm/IWBS92;id_1989
tr/ibm/IWBS110;id_1990
tr/ibm/RJ2736;id_1980
tr/ibm/IWBS213;id_1992
tr/ibm/LILOG46;id_1988
tr/ibm/LILOGM11;id_1988
tr/ibm/IWBS233;id_1992
tr/ibm/IWBS184;id_1991
tr/ibm/LILOG1a;id_1986
tr/ibm/LILOG6;id_1987
tr/ibm/IWBS214;id_1992
tr/ibm/IWBS158;id_1991
tr/ibm/IWBS215;id_1992
tr/ibm/IWBS140;id_1990
tr/ibm/IWBS88;id_1989
tr/ibm/LILOG41;id_1988
tr/ibm/LILOG14;id_1987
tr/ibm/IWBS168;id_1991
tr/ibm/IWBS119;id_1990
tr/ibm/IWBS193;id_1991
tr/ibm/RJ2555;id_1979
tr/ibm/IWBS90;id_1989
tr/ibm/IWBS117;id_1990
tr/ibm/IWBS222;id_1992
tr/ibm/IWBS211;id_1992
tr/ibm/IWBS85;id_1989
tr/ibm/LILOG20;id_1987
tr/ibm/IWBS73;id_1989
tr/ibm/IWBS113;id_1990
tr/ibm/IWBS152;id_1991
tr/ibm/IWBS179;id_1991
tr/ibm/IWBS71;id_1989
tr/ibm/IWBS187;id_1991
tr/ibm/IWBS74;id_1989
tr/ibm/IWBS103;id_1989
tr/ibm/LILOG2;id_1986
tr/ibm/LILOGM1;id_1987
tr/ibm/LILOG42;id_1988
tr/ibm/LILOG39;id_1988
tr/ibm/IWBS227;id_1992
tr/ibm/IWBS129;id_1990
tr/ibm/LILOG33;id_1988
tr/ibm/IWBS175;id_1991
tr/ibm/LILOG58;id_1988
tr/ibm/IWBS98;id_1989
tr/ibm/IWBS183;id_1991
tr/ibm/IWBS104;id_1989
tr/ibm/IWBS122;id_1990
tr/ibm/IWBS86;id_1989
tr/ibm/G320-2096;id_1974
tr/ibm/IWBS81;id_1989
tr/ibm/IWBS164;id_1991
tr/ibm/IWBS139;id_1990
tr/ibm/IWBS67;id_1989
tr/ibm/IWBS109;id_1990
tr/ibm/IWBS181;id_1991
tr/ibm/LILOG25;id_1987
tr/ibm/GH24-5013;id_1981
tr/ibm/IWBS235;id_1992
tr/ibm/LILOG17;id_1987
tr/ibm/IWBS145;id_1990
tr/ibm/LILOG57;id_1988
tr/ibm/LILOG51;id_1988
tr/ibm/IWBS123;id_1990
tr/ibm/IWBS125;id_1990
tr/ibm/IWBS218;id_1992
tr/ibm/IWBS95;id_1989
tr/ibm/IWBS219;id_1992
tr/ibm/IWBS176;id_1991
tr/ibm/IWBS97;id_1989
tr/ibm/IWBS69;id_1989
tr/ibm/LILOG44;id_1988
tr/ibm/IWBS209;id_1992
tr/ibm/IWBS172;id_1991
tr/ibm/IWBS137;id_1990
tr/ibm/LILOGM12;id_1988
tr/ibm/IWBS149;id_1991
tr/ibm/IWBS141;id_1990
tr/ibm/IWBS196;id_1991
tr/ibm/IWBS206;id_1992
tr/ibm/LILOG9;id_1987
tr/ibm/IWBS136;id_1990
tr/ibm/IWBS148;id_1991
tr/ibm/LILOG36;id_1988
tr/ibm/IWBS226;id_1992
tr/ibm/IWBS131;id_1990
tr/ibm/LILOG47;id_1988
tr/ibm/IWBS174;id_1991
tr/ibm/IWBS128;id_1990
tr/ibm/IWBS127;id_1990
tr/ibm/IWBS230;id_1992
tr/ibm/IWBS204;id_1992
tr/ibm/IWBS147;id_1990
tr/ibm/IWBS173;id_1991
tr/ibm/IWBS105;id_1989
tr/ibm/IWBS161;id_1991
tr/ibm/IWBS185;id_1991
tr/ibm/IWBS118;id_1990
tr/ibm/RJ1579;id_1975
tr/ibm/IWBS186;id_1991
tr/ibm/IWBS94;id_1989
tr/ibm/GH24-5012;id_1981
tr/ibm/IWBS133;id_1990
tr/ibm/LILOG24;id_1987
tr/ibm/LILOG18;id_1988
tr/ibm/RJ2274;id_1978
tr/ibm/IWBS143;id_1990
tr/ibm/LILOG28;id_1987
tr/ibm/IWBS82;id_1989
tr/ibm/IWBS229;id_1992
tr/ibm/IWBS66;id_1989
tr/ibm/LILOG31;id_1988
tr/ibm/LILOG22;id_1987
tr/ibm/IWBS203;id_1991
tr/ibm/LILOG12;id_1987
tr/ibm/LILOG32;id_1988
tr/ibm/LILOGM14;id_1989
tr/ibm/LILOGM10;id_1988
tr/ibm/IWBS151;id_1991
tr/ibm/RJ1318;id_1973
tr/ibm/RJ2598;id_1979
tr/ibm/IWBS207;id_1992
tr/trier/MI98-14;id_1998
tr/trier/MI99-26;id_1999
tr/trier/MI96-16;id_1996
tr/trier/MI01-21;id_2001
tr/trier/MI98-06;id_1998
tr/trier/MI96-32;id_1996
tr/trier/MI94-10;id_1994
tr/trier/MI00-01;id_2000
tr/trier/MI97-24;id_1997
tr/trier/MI97-09;id_1997
tr/trier/MI99-12;id_1999
tr/trier/MI92-26;id_1992
tr/trier/MI98-07;id_1998
tr/trier/MI96-22;id_1996
tr/trier/MI02-21;id_2002
tr/trier/MI98-12;id_1998
tr/trier/MI92-17;id_1992
tr/trier/MI94-05;id_1994
tr/trier/MI00-05;id_2000
tr/trier/MI96-17;id_1996
tr/trier/MI03-01;id_2003
tr/trier/MI96-26;id_1996
tr/trier/MI96-37;id_1996
tr/trier/MI96-29;id_1996
tr/trier/MI96-33;id_1996
tr/trier/MI97-06;id_1997
tr/trier/MI93-01;id_1993
tr/trier/MI93-21;id_1993
tr/trier/MI01-06;id_2001
tr/trier/MI97-08;id_1997
tr/trier/MI92-24;id_1992
tr/trier/MI96-31;id_1996
tr/trier/MI94-11;id_1994
tr/trier/MI98-29;id_1998
tr/trier/MI96-38;id_1996
tr/trier/MI97-23;id_1997
tr/trier/MI03-03;id_2003
tr/trier/MI99-11;id_1999
tr/trier/MI94-14;id_1994
tr/trier/MI98-21;id_1998
tr/trier/MI97-04;id_1997
tr/trier/MI96-12;id_1996
tr/trier/MI92-27;id_1992
tr/trier/MI95-06;id_1995
tr/trier/MI93-11;id_1993
tr/trier/MI02-19;id_2002
tr/trier/MI96-15;id_1996
tr/trier/MI04-01;id_2004
tr/trier/MI96-41;id_1996
tr/trier/MI06-01;id_2006
tr/trier/MI96-03;id_1996
tr/trier/MI96-35;id_1996
tr/trier/MI92-20;id_1992
tr/trier/MI99-13;id_1999
tr/trier/MI97-05;id_1997
tr/trier/MI94-09;id_1994
tr/trier/MI02-20;id_2002
tr/trier/MI02-23;id_2002
tr/trier/MI99-27;id_1999
tr/trier/MI98-05;id_1998
tr/trier/MI95-04;id_1995
tr/trier/MI98-23;id_1998
tr/trier/MI01-03;id_2001
tr/trier/MI93-14;id_1993
tr/trier/MI97-27;id_1997
tr/trier/MI01-13;id_2001
tr/trier/MI96-24;id_1996
tr/trier/MI93-18;id_1993
tr/trier/MI96-01;id_1996
tr/trier/MI99-06;id_1999
tr/trier/MI93-16;id_1993
tr/trier/MI01-09;id_2001
tr/trier/MI98-10;id_1998
tr/trier/MI98-16;id_1998
tr/trier/MI03-04;id_2003
tr/trier/MI95-14;id_1995
tr/trier/MI95-18;id_1995
tr/trier/MI94-03;id_1994
tr/trier/MI97-13;id_1997
tr/trier/MI95-20;id_1995
tr/trier/MI96-19;id_1996
tr/trier/MI99-02;id_1999
tr/trier/MI95-13;id_1995
tr/trier/MI00-07;id_2000
tr/trier/MI96-30;id_1996
tr/trier/MI92-06;id_1992
tr/trier/MI01-12;id_2001
tr/trier/MI01-20;id_2001
tr/trier/MI97-03;id_1997
tr/trier/MI01-19;id_2001
tr/trier/MI98-27;id_1998
tr/trier/MI93-23;id_1993
tr/trier/MI98-19;id_1998
tr/trier/MI98-24;id_1998
tr/trier/MI96-39;id_1996
tr/trier/MI96-42;id_1996
tr/trier/MI96-34;id_1996
tr/trier/MI97-01;id_1997
tr/trier/MI98-32;id_1998
tr/trier/MI99-20;id_1999
tr/trier/MI02-07;id_2002
tr/trier/MI92-16;id_1992
tr/trier/MI92-22;id_1992
tr/trier/MI96-04;id_1996
tr/trier/MI02-05;id_2002
tr/trier/MI96-46;id_1996
tr/trier/MI93-10;id_1993
tr/trier/MI95-24;id_1995
tr/trier/MI97-20;id_1997
tr/trier/MI92-14;id_1992
tr/trier/MI04-05;id_2004
tr/trier/MI98-08;id_1998
tr/trier/MI99-05;id_1999
tr/trier/MI98-09;id_1998
tr/trier/MI97-21;id_1997
tr/trier/MI02-15;id_2002
tr/trier/MI92-09;id_1992
tr/trier/MI97-22;id_1997
tr/trier/MI97-17;id_1997
tr/trier/MI00-02;id_2000
tr/trier/MI92-04;id_1992
tr/trier/MI94-16;id_1994
tr/trier/MI02-13;id_2002
tr/trier/MI99-09;id_1999
tr/trier/MI99-07;id_1999
tr/trier/MI93-05;id_1993
tr/trier/MI95-15;id_1995
tr/trier/MI95-05;id_1995
tr/trier/MI99-19;id_1999
tr/trier/MI97-18;id_1997
tr/trier/MI99-14;id_1999
tr/trier/MI94-01;id_1994
tr/trier/MI92-25;id_1992
tr/trier/MI98-31;id_1998
tr/trier/MI02-22;id_2002
tr/trier/MI01-16;id_2001
