year,id_year
2018,id_2018
2013,id_2013
1994,id_1994
1993,id_1993
1991,id_1991
1989,id_1989
1995,id_1995
1990,id_1990
1988,id_1988
1979,id_1979
1992,id_1992
1987,id_1987
1981,id_1981
1986,id_1986
1999,id_1999
1980,id_1980
1973,id_1973
1978,id_1978
1974,id_1974
1975,id_1975
1998,id_1998
1996,id_1996
2001,id_2001
2000,id_2000
1997,id_1997
2002,id_2002
2003,id_2003
2004,id_2004
2006,id_2006
2012,id_2012
1971,id_1971
1972,id_1972
2011,id_2011
1969,id_1969
2005,id_2005
2015,id_2015
2010,id_2010
2008,id_2008
2009,id_2009
2019,id_2019
2014,id_2014
2007,id_2007
2017,id_2017
2016,id_2016
2020,id_2020
2021,id_2021
1985,id_1985
1976,id_1976
1983,id_1983
1977,id_1977
1984,id_1984
1982,id_1982
1970,id_1970
1960,id_1960
1967,id_1967
1962,id_1962
1964,id_1964
1965,id_1965
1961,id_1961
1966,id_1966
1968,id_1968
1963,id_1963
1941,id_1941
1939,id_1939
1943,id_1943
1936,id_1936
1942,id_1942
1940,id_1940
1956,id_1956
1938,id_1938
1944,id_1944
1948,id_1948
1958,id_1958
1949,id_1949
1952,id_1952
1951,id_1951
1946,id_1946
1950,id_1950
1953,id_1953
1955,id_1955
1959,id_1959
1954,id_1954
1947,id_1947
1937,id_1937
1945,id_1945
1957,id_1957
